station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
ANGUILLA,0-20000-0-78846,78846,Land (fixed),18.2,-63.05,29,Anguilla,IV
Coolidge Field,0-20008-0-CLF,CLF,Land (fixed),17.09000015,-61.81000137,10,Antigua and Barbuda,IV
VC BIRD INT'L AIRPORT ANTIGUA,0-20000-0-78862,78862,Land (fixed),17.11666667,-61.78333333,8,Antigua and Barbuda,IV
ABRAHAM'S BAY,0-20000-0-78109,78109,Land (fixed),22.36666667,-72.96666667,1,Bahamas,IV
ABRAHAM'S BAY,0-20000-0-78108,78108,Land (fixed),22.38333333,-73.01666667,0,Bahamas,IV
ALICE TOWN,0-20000-0-78070,78070,Land (fixed),25.73333333,-79.3,2,Bahamas,IV
CHURCH GROVE,0-20000-0-78104,78104,Land (fixed),22.75,-74.23333333,12,Bahamas,IV
CLARENCE TOWN,0-20000-0-78095,78095,Land (fixed),23.1,-74.96666667,7,Bahamas,IV
COCKBURN TOWN,0-20000-0-78088,78088,Land (fixed),24.05,-74.53333333,3,Bahamas,IV
COCKBURN TOWN,0-20000-0-78089,78089,Land (fixed),24.06666667,-74.5,0,Bahamas,IV
COLONEL HILL,0-20000-0-78103,78103,Land (fixed),22.75,-74.23333333,12,Bahamas,IV
CONGO TOWN,0-20000-0-78084,78084,Land (fixed),24.15,-77.56666667,0,Bahamas,IV
DEADMAN'S CAY,0-20000-0-78094,78094,Land (fixed),23.1,-74.96666667,7,Bahamas,IV
DUNCAN TOWN,0-20000-0-78101,78101,Land (fixed),22.2,-75.73333333,11,Bahamas,IV
DUNMORE TOWN,0-20000-0-78077,78077,Land (fixed),25.5,-76.63333333,14,Bahamas,IV
FREEPORT,0-20000-0-78062,78062,Land (fixed),26.55,-78.7,2,Bahamas,IV
GEORGE TOWN,0-20000-0-78092,78092,Land (fixed),23.5,-75.76666667,2,Bahamas,IV
GREEN TURTLE CAY,0-20000-0-78066,78066,Land (fixed),26.75,-77.33333333,13,Bahamas,IV
KEMP'S BAY,0-20000-0-78086,78086,Land (fixed),24.08333333,-77.55,2,Bahamas,IV
MARSH HARBOUR,0-20000-0-78065,78065,Land (fixed),26.51666667,-77.06666667,0,Bahamas,IV
MATTHEW TOWN,0-20000-0-78120,78120,Land (fixed),20.95,-73.65,0,Bahamas,IV
MATTHEW TOWN,0-20000-0-78121,78121,Land (fixed),20.95,-73.68333333,2,Bahamas,IV
MOSS TOWN,0-20000-0-78091,78091,Land (fixed),23.55,-75.86666667,0,Bahamas,IV
NASSAU AIRPORT NEW PROVIDENCE,0-20000-0-78073,78073,Land (fixed),25.05,-77.46666667,0,Bahamas,IV
NORTH ELEUTHERA,0-20000-0-78075,78075,Land (fixed),25.48333333,-76.66666667,0,Bahamas,IV
ROCK SOUND,0-20000-0-78080,78080,Land (fixed),24.75,-76.15,0,Bahamas,IV
SOUTH BIMINI,0-20000-0-78069,78069,Land (fixed),25.7,-79.25,0,Bahamas,IV
THE BIGHT,0-20000-0-78087,78087,Land (fixed),24.28333333,-75.41666667,3,Bahamas,IV
WEST END,0-20000-0-78061,78061,Land (fixed),26.7,-78.96666667,2,Bahamas,IV
APPLEWHAITES 3D PAWS AWS,0-52-130-0038,0038,Land (fixed),13.1578,-59.5767,32.6,Barbados,IV
ASHTON HALL  3D PAW,0-52-130-0029,0029,Land (fixed),13.2574,-59.6279,65,Barbados,IV
BAWDENS 3D PAW AWS,0-52-130-0031,0031,Land (fixed),13.2413,-59.5907,104,Barbados,IV
BELLE 3D PAW AWS,0-52-130-0036,0036,Land (fixed),13.1149,-59.5924,44,Barbados,IV
BELLE B.W.A NESA AWS,0-52-130-0003,0003,Land (fixed),13.1153,-59.5927,33,Barbados,IV
BMS CAD 3D PAWS,0-52-130-0020,0020,Land (fixed),13.0852,-59.4872,72.3,Barbados,IV
BMS Sutron AWS Charnocks Christ Church,0-52-130-0001,0001,Land (fixed),13.0853,-59.4872,56,Barbados,IV
BOWMANSTON 3D PAW,0-52-130-0025,0025,Land (fixed),13.1702,-59.5063,210,Barbados,IV
CAMBRIDGE 3D PAW AWS,0-52-130-0030,0030,Land (fixed),13.2276,-59.547,144.3,Barbados,IV
CARIBBEAN METEOROLOGICAL INSTITUTE,0-20000-0-78955,78955,Land (fixed),13.15,-59.61666667,0,Barbados,IV
CONSTANT 3D PAW AWS,0-52-130-0037,0037,Land (fixed),13.1213,-59.5578,64.3,Barbados,IV
G.A.I.A RUNWAY CASELLA AWS,0-52-130-0002,0002,Land (fixed),13.0816,-59.4764,52,Barbados,IV
GOLDEN RIDGE 3D PAW AWS,0-52-130-0023,0023,Land (fixed),13.1644,-59.5413,297.3,Barbados,IV
GRANTLEY ADAMS,0-52-130-78954,78954,Air (fixed),13.085847,-59.487013,56.6,Barbados,IV
GREENLAND 3D PAW AWS,0-52-130-0032,0032,Land (fixed),13.2576,-59.5772,31.3,Barbados,IV
HALF ACRE 3D PAW,0-52-130-0027,0027,Land (fixed),13.3016,-59.6158,83.6,Barbados,IV
HOLDERS HILL 3D PAW AWS,0-52-130-0034,0034,Land (fixed),13.1625,-59.6335,32.6,Barbados,IV
LAKES FOLLY 3D PAW AWS,0-52-130-0021,0021,Land (fixed),13.1038,-59.6211,21,Barbados,IV
LOWER CARLTON 3D PAW,0-52-130-0026,0026,Land (fixed),13.2216,-59.6338,61,Barbados,IV
MIN AGR GRAEME HALL SUTRON AWS,0-52-130-0055,0055,Land (fixed),13.0761,-59.5761,65,Barbados,IV
MIN OF AGR GRAEME HALL 3D PAW AWS,0-52-130-0039,0039,Land (fixed),13.0761,-59.4872,37.3,Barbados,IV
MOUNT PLEASANT 3D PAW AWS,0-52-130-0041,0041,Land (fixed),13.1588,-59.4748,193.6,Barbados,IV
